event_id,bin_id,mc_energy_GeV,n_doms_ic,has_dm_hit,lf_ang_err,piv_lf_ang_err,mpe_std_ang_err,mpe_piv_ang_err,mpe_piv2_ang_err,spe_std_ang_err,spe_piv_ang_err,ll_mc,ll_lf,ll_plf,ll_mpe_std,ll_mpe_piv,ll_mpe_piv2,ll_spe_std,ll_spe_piv,dp_lf_m,dp_mpe_m
4206,4,36755.08416336483,665,1,0.9564743077464709,1.2134336790295166,0.5626914756202452,0.5624947628957304,0.5624947628957304,0.5177969573311817,0.5155610204093398,,-9.502986159482502,-6.019094101801787,-6.239448950377413,-6.239499849191458,-6.239499849191458,-7.119309651817464,-7.1220647838097815,5.620850251525499,1.899139539120161
4207,4,73593.28487118427,289,1,2.086171366874197,0.7123976720010006,0.4428359136749331,0.44282008180793764,0.44282008180793764,0.22129180949574637,0.2235078118802817,,,-6.019094101801787,-6.100894393544158,-6.101027527822913,-6.101027527822913,-8.982338044543392,-8.974700002744303,16.85428243527327,4.428355083559408
4208,4,92006.66843676893,624,1,2.7354960054824393,1.2199359357520019,0.3440585203666991,0.344090633878771,0.344090633878771,1.5260885166038411,1.5284989632234989,,,-6.019094101801787,-6.181323349091025,-6.181378875125145,-6.181378875125145,,-6.941478455378293,22.57423609271102,2.3235634771247886
4209,4,36662.85367017525,267,1,0.5330602104562876,0.2626772713590856,0.16034818387072558,0.15887244315043217,0.15887244315043217,0.509753679447331,0.5087500953195947,,-18.349609927241687,-6.019094101801787,-6.216824863970332,-6.217901275516921,-6.217901275516921,-8.861842759224515,-8.856957231181712,6.626345548092812,1.836450057644553
4210,4,39889.67087243,629,1,1.1724028444942718,0.2262820395708829,0.1512143192666649,0.15116186702082132,0.15116186702082132,1.36185640215929,1.3874620602590801,,-10.915348647680212,-6.019094101801787,-6.139197450929585,-6.139242187570855,-6.139242187570855,-6.384298417005203,-6.362139674510783,13.912012973042543,1.7430850008704095
4211,4,46087.63917212337,401,1,1.350908640646802,0.06024512360921718,0.05461229660373396,0.05463876432909561,0.05463876432909561,0.275772503685982,0.27647533906562466,,,-6.019094101801787,-6.264062518752056,-6.2640945265467085,-6.2640945265467085,-8.773329894387,-8.770098893445867,20.575504520076805,0.33505112960181976
4212,4,25451.525561692055,547,1,1.2311463576531225,0.34141803834058476,0.18106686828491306,0.18105360889238226,0.18105360889238226,0.4144245758707554,0.41468664367573693,,,-6.019094101801787,-6.107954374705209,-6.10800018895565,-6.10800018895565,-6.446728751259165,-6.446496718075904,17.193433518653936,3.7516310206895582
4213,4,49412.78387931059,264,1,0.9501369757356902,1.3411327220064801,0.2515046109527714,0.25125263078904275,0.25125263078904275,0.3827971719348984,0.3860428231055905,,-12.121804325286389,-6.019094101801787,-6.156113533084303,-6.156412458548156,-6.156412458548156,-7.376351224277735,-7.3816298201091115,4.125450675172063,3.5341160586395213
4214,4,39288.582769017274,312,1,15.29330150653724,10.331119297565982,0.10137519701248511,1.1303506042751519,1.1303506042751519,2.0931535239330956,2.0902176827903944,,,-6.019094101801787,-6.402084079267398,-6.238399890203411,-6.238399890203411,-6.1884404130541935,-6.188677072039287,54.91359134763192,0.3471599419822101
4215,4,86485.95176991624,98,1,39.951597889395586,7.912144426890319,3.1396470528938356,8.553828627466853,8.553828627466853,6.120941012892471,6.110940409314609,,,-6.019094101801787,-6.019847926698558,-6.058126479190756,-6.058126479190756,,-6.224515092964947,106.41348888675077,5.051024680013357
